govid|english_name|telephone
431|Foreign Maid Employment Agency|31562334

1456|TOP RESOURCES CONSULTANCY COMPANY|21519383
270|Caring Employment Centre|21519383

1469|Mamie Employment Centre Limited|21111105
799|BLISS EMPLOYMENT SERVICES LIMITED|21111105

1473|Excel Famous Domestic Helper Consultant Limited|23709999
1474|Excel Famous Domestic Helper Consultant Limited|23709999

1474|Excel Famous Domestic Helper Consultant Limited|23709999
1473|Excel Famous Domestic Helper Consultant Limited|23709999

1503|FAVOR MAID EMPLOYMENT AGENCY|27893218
1333|HAPPY HOUSE EMPLOYMENT AGENCY|27893218
1966|GOLDEN PEAK EMPLOYMENT AGENCY|27893218

1509|RCI International Employment Agency Limited|21771888
1014|ALL THE BEST EMPLOYMENT LIMITED|21771888

1574|FAI SING (HONG KONG) LIMITED|27084038
2737|Fong Wah Trading Co|27084038

1615|CHAMPION EMPLOYMENT|91463388
1221|Ngai Kan Employment Agency|91463388

1630|Ensemble Human Resources Co. Limited|35909993
1628|Ensemble Human Resources Co. Limited|35909993
1629|Ensemble Human Resources Co. Limited|35909993
1631|Ensemble Human Resources Co. Limited|35909993

1631|Ensemble Human Resources Co. Limited|35909993
1628|Ensemble Human Resources Co. Limited|35909993
1629|Ensemble Human Resources Co. Limited|35909993
1630|Ensemble Human Resources Co. Limited|35909993

1654|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079
1653|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079

1655|HOME CARE EMPLOYMENT AGENCY LIMITED|26739155
272|Sumber Makmur Trading Co.|26739155

1677|FIRST CAPITAL RESOURCES GROUP LIMITED|23709882
1861|Maid Best Limited|23709882

1711|FUN TOP EMPLOYMENT SERVICE COMPANY|27720086
3047|ANLIDA|27720086

1861|Maid Best Limited|23709882
1677|FIRST CAPITAL RESOURCES GROUP LIMITED|23709882

1863|A&F; EMPLOYMENT CENTRE|96821622
1864|A&F; EMPLOYMENT CENTRE|96821622
1866|A&F; EMPLOYMENT CENTRE|96821622

1864|A&F; EMPLOYMENT CENTRE|96821622
1863|A&F; EMPLOYMENT CENTRE|96821622
1866|A&F; EMPLOYMENT CENTRE|96821622

1865|A&F; EMPLOYMENT CENTRE|31000151
646|A & E Employment Centre|31000151

1866|A&F; EMPLOYMENT CENTRE|96821622
1863|A&F; EMPLOYMENT CENTRE|96821622
1864|A&F; EMPLOYMENT CENTRE|96821622

1912|TAKEME EMPLOYMENT AGENCY|62267749
1911|TAKEME EMPLOYMENT AGENCY|62267749

1917|KA YIN EMPLOYMENT CENTRE|24873111
1918|KA YIN EMPLOYMENT CENTRE|24873111

1918|KA YIN EMPLOYMENT CENTRE|24873111
1917|KA YIN EMPLOYMENT CENTRE|24873111

1966|GOLDEN PEAK EMPLOYMENT AGENCY|27893218
1333|HAPPY HOUSE EMPLOYMENT AGENCY|27893218
1503|FAVOR MAID EMPLOYMENT AGENCY|27893218

2028|Gracefield Employment Service Limited|28776699
2278|HELPER EASY LIMITED|28776699

2152|CITY EMPLOYMENT PARADISE CO.|27726708
2275|SCENEWAY EMPLOYMENT PARADISE CO.|27726708

2153|TSUEN WAN EMPLOYMENT PARADISE CO.|24680380
2150|CITY EMPLOYMENT PARADISE CO.|24680380

2190|WING MING EMPLOYMENT SERVICES|63156633
2192|WING MING EMPLOYMENT SERVICES|63156633
2193|WING MING EMPLOYMENT SERVICES|63156633

2192|WING MING EMPLOYMENT SERVICES|63156633
2190|WING MING EMPLOYMENT SERVICES|63156633
2193|WING MING EMPLOYMENT SERVICES|63156633

2193|WING MING EMPLOYMENT SERVICES|63156633
2190|WING MING EMPLOYMENT SERVICES|63156633
2192|WING MING EMPLOYMENT SERVICES|63156633

2232|SMOOTH MAID EMPLOYMENT AGENCY LIMITED|26688498
454|Jumbo International Maid Employment Agency|26688498

2275|SCENEWAY EMPLOYMENT PARADISE CO.|27726708
2152|CITY EMPLOYMENT PARADISE CO.|27726708

2302|SINCERE COMPANY|21159923
2303|SINCERE COMPANY|21159923

2303|SINCERE COMPANY|21159923
2302|SINCERE COMPANY|21159923

2360|PEACEFUL COMPANY|67315667
2359|PEACEFUL COMPANY|67315667

2539|THE ONE HELPER AGENCY|51114393
2538|THE ONE HELPER AGENCY|51114393

2566|LT Domestic Helper Agency Limited|35202145
2781|R JOB LIMITED|35202145

2586|Helpers Market International Recruitment Limited|60389698
2561|WESTLAKE MANPOWER RESOURCES CO.|60389698

2743|Live-in Seedling Employment Service Co.|24898738
1900|GREEN SELECT EMPLOYMENT SERVICES CO.|24898738

2996|LUCKY MAIDS JOB CENTRE|28912896
151|EMPLOYMENT WORLD|28912896

3047|ANLIDA|27720086
1711|FUN TOP EMPLOYMENT SERVICE COMPANY|27720086

57|Beatrice Filipino Domestic Helpers|26823841
1825|HEARTFUL EMPLOYMENT SERVICES (HK) LIMITED|26823841

150|KA WO CONSULTANTS LIMITED|25263331
328|Home De Fairy Consultants Limited|25263331
61|D.D. Domestic Services|25263331

180|Good Link Consultants|23690816
181|Good Link Consultants|23690816

181|Good Link Consultants|23690816
180|Good Link Consultants|23690816

199|Mrs. MA's Employment Services|26533603
198|Mrs. MA's Employment Services|26533603
277|Romy Employment Services|26533603

260|K&P; Employment Agency|27140849
261|K&P; Employment Agency|27140849

261|K&P; Employment Agency|27140849
260|K&P; Employment Agency|27140849

313|C. & K. ENTERPRISES COMPANY LIMITED|25783311
534|Pawer Express International Company Limited|25783311

341|Pak On (Hong Kong) Company Limited|29740000
743|Royalcorp Employment Agency Limited|29740000

547|Hung Chau Company Limited|31023311
548|Hung Chau Company Limited|31023311

598|Arrow Employment Services|21511125
597|Arrow Employment Services|21511125

660|AIE Employment Centre|27701198
645|A & E Employment Centre|27701198

673|Cable Employment Service Limited|22334343
228|Technic Employment Service Centre Limited|22334343

692|STAR CARE EMPLOYMENT AGENCY|26138080
693|STAR CARE EMPLOYMENT AGENCY|26138080
694|STAR CARE EMPLOYMENT AGENCY|26138080

694|STAR CARE EMPLOYMENT AGENCY|26138080
692|STAR CARE EMPLOYMENT AGENCY|26138080
693|STAR CARE EMPLOYMENT AGENCY|26138080

743|Royalcorp Employment Agency Limited|29740000
341|Pak On (Hong Kong) Company Limited|29740000

1196|CB Consultants|23886263
1276|Chris Benne|23886263
1589|TEH WONG MANPOWER|23886263

1220|Liberty Employment Agency|25786029
1219|Liberty Employment Agency|25786029

1241|LI WING EMPLOYMENT CENTRE|28973003
1436|NAULI EMPLOYMENT AGENCY COMPANY LIMITED|28973003

1276|Chris Benne|23886263
1196|CB Consultants|23886263
1589|TEH WONG MANPOWER|23886263

1278|FESDI EMPLOYMENT CENTRE|28992101
1280|FESDI EMPLOYMENT CENTRE|28992101
1285|FESDI EMPLOYMENT CENTRE|28992101

1285|FESDI EMPLOYMENT CENTRE|28992101
1278|FESDI EMPLOYMENT CENTRE|28992101
1280|FESDI EMPLOYMENT CENTRE|28992101

1334|Sa Sa Employment Agency|28187898
568|Kasa Maid Agency Limited|28187898

1589|TEH WONG MANPOWER|23886263
1196|CB Consultants|23886263
1276|Chris Benne|23886263

2166|Kex Industrial Company|25228071
1066|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1068|FURTHER CREATION EMPLOYMENT CENTRE|25228071

2187|M. Wise Company|24760868
2377|CHAK HANG COMPANY LIMITED|24760868

2359|PEACEFUL COMPANY|67315667
2360|PEACEFUL COMPANY|67315667

2377|CHAK HANG COMPANY LIMITED|24760868
2187|M. Wise Company|24760868

2538|THE ONE HELPER AGENCY|51114393
2539|THE ONE HELPER AGENCY|51114393

2561|WESTLAKE MANPOWER RESOURCES CO.|60389698
2586|Helpers Market International Recruitment Limited|60389698

2619|BTI COURIER EXPRESS|27812933
641|Pacific Garden Employment Agency|27812933

2737|Fong Wah Trading Co|27084038
1574|FAI SING (HONG KONG) LIMITED|27084038

323|Blue Sky Co.|23400648
401|The Searchers Human Resources Co.|23400648

408|Tai Ping Employment Agency|27619686
1203|J & P Employment Agency|27619686

1203|J & P Employment Agency|27619686
408|Tai Ping Employment Agency|27619686

1219|Liberty Employment Agency|25786029
1220|Liberty Employment Agency|25786029

2278|HELPER EASY LIMITED|28776699
2028|Gracefield Employment Service Limited|28776699

3036|SEBASTIAN|35868811
1836|FamilyMaid Employment Services Limited|35868811

272|Sumber Makmur Trading Co.|26739155
1655|HOME CARE EMPLOYMENT AGENCY LIMITED|26739155

1653|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079
1654|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079

